Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,8.0,7.8,7.6,7.22,7.14,7.33,7.44,7.33,7.21,6.97,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,4.6,4.6,4.5,4.28,4.18,4.16,3.8,3.54,3.42,3.33,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,3.4,3.2,3.0,2.94,2.96,3.17,3.64,3.79,3.79,3.64,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,7.0,6.5,7.5,8.15,8.17,9.22,8.58,8.29,8.83,9.2,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,12.3,11.8,12.5,13.64,14.02,15.58,16.53,17.04,18.44,19.78,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,10.4,10.0,10.6,11.38,11.44,12.61,12.88,13.04,13.94,14.93,,
Agriculture Production Foodgrains Production Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,1.9,1.8,1.9,2.26,2.58,2.98,3.65,4.0,4.5,4.85,,
Agriculture Production Foodgrains Production Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,12.6,12.8,12.8,13.18,13.35,14.08,14.0,14.31,15.28,15.86,,
Agriculture Production Foodgrains Production Foodgrains Pulses Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,2.4,2.4,2.4,2.38,2.39,2.57,2.55,2.57,2.6,2.66,,
Agriculture Production Foodgrains Production Foodgrains Pulses Gram Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,4.7,5.1,4.9,5.3,5.47,5.77,6.04,6.44,6.97,7.24,,
Agriculture Production Foodgrains Production Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,4.7,4.7,4.9,4.95,4.94,5.39,5.09,4.99,5.44,5.69,,
Agriculture Production Foodgrains Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,7.9,8.1,7.9,8.24,8.41,8.69,8.91,9.32,9.84,10.17,,
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,20.0,19.9,20.0,22.6,23.33,26.31,26.82,26.92,27.82,28.93,,
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,6.3,6.4,6.2,6.81,6.38,7.39,7.2,6.93,6.98,7.4,,
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,5.0,4.9,5.0,6.2,6.67,7.06,7.24,7.04,7.05,6.89,,
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,6.1,6.0,6.2,6.72,7.29,8.56,8.97,9.59,10.49,11.16,,
Agriculture Production Foodgrains Production Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,0.7,0.8,0.8,1.02,1.13,1.25,1.29,1.23,1.07,0.93,,
Agriculture Production Foodgrains Production Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,10.4,10.4,10.7,13.46,15.98,19.43,21.14,22.66,25.56,28.08,,
Agriculture Production Foodgrains Production Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,10.9,10.8,11.1,11.05,10.97,10.95,15.525,11.1,11.06,11.08,,
Agriculture Production Foodgrains Production Other Cash Crops Onion,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,4.7,4.8,4.7,6.08,6.54,7.81,7.81,,,,,
Agriculture Production Foodgrains Production Other Cash Crops Potato,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,23.8,23.6,23.5,23.56,23.19,24.25,24.25,,,,,
Agriculture Production Foodgrains Production Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,298.5,298.5,283.4,267.34,279.01,291.17,301.4,312.44,324.68,325.79,,
Agriculture Production Foodgrains Yield Foodgrains Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1690.0,1651.0,1668.0,1675.0,1679.0,1743.0,1779.0,1808.0,1851.0,1916.0,,
Agriculture Production Foodgrains Yield Foodgrains Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1436.0,1401.0,1429.0,1458.0,1460.0,1532.0,1552.0,1566.0,1598.0,1658.0,,
Agriculture Production Foodgrains Yield Foodgrains Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,2084.0,2029.0,2036.0,2005.0,2009.0,2057.0,2109.0,2151.0,2203.0,2271.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1068.0,1049.0,1082.0,1132.0,1142.0,1231.0,1277.0,1290.0,1364.0,1444.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1083.0,1064.0,1113.0,1166.0,1161.0,1244.0,1252.0,1244.0,1311.0,1393.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1016.0,999.0,976.0,1013.0,1075.0,1183.0,1363.0,1449.0,1548.0,1621.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1991.0,1938.0,1960.0,2001.0,2011.0,2101.0,2121.0,2148.0,2175.0,2228.0,,
Agricultural Production Foodgrains Yield Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1888.0,1835.0,1867.0,1906.0,1914.0,2000.0,2016.0,2042.0,2068.0,2127.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,2982.0,2972.0,2932.0,2996.0,3027.0,3093.0,3097.0,3092.0,3104.0,3122.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,2753.0,2692.0,2716.0,2662.0,2651.0,2690.0,2730.0,2777.0,2850.0,2946.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,799.0,803.0,781.0,782.0,796.0,845.0,896.0,911.0,925.0,949.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,965.0,989.0,995.0,1018.0,1029.0,1062.0,1055.0,1034.0,1039.0,1087.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,651.0,633.0,591.0,585.0,604.0,667.0,774.0,820.0,842.0,851.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,739.0,718.0,809.0,872.0,876.0,951.0,920.0,895.0,953.0,1009.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1878.0,1817.0,1870.0,1916.0,1901.0,2031.0,2109.0,2128.0,2249.0,2361.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1765.0,1713.0,1761.0,1786.0,1740.0,1853.0,1877.0,1875.0,1974.0,2089.0,,
Agriculture Production Foodgrains Yield Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,2874.0,2749.0,2853.0,3030.0,3220.0,3421.0,3741.0,3813.0,3963.0,3944.0,,
Agriculture Production Foodgrains Yield Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,597.0,595.0,595.0,593.0,594.0,610.0,614.0,625.0,644.0,662.0,,
Agriculture Production Foodgrains Yield Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,453.0,455.0,463.0,455.0,455.0,483.0,472.0,469.0,496.0,514.0,,
Agriculture Production Foodgrains Yield Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,738.0,723.0,723.0,725.0,725.0,729.0,742.0,760.0,772.0,789.0,,
Agriculture Production Foodgrains Yield Foodgrains Pulses Tur Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,694.0,703.0,681.0,687.0,681.0,717.0,717.0,726.0,702.0,703.0,,
Agriculture Production Foodgrains Yield Foodgrains Pulses Gram Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,817.0,796.0,795.0,803.0,803.0,808.0,826.0,847.0,865.0,881.0,,
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,859.0,850.0,870.0,918.0,918.0,995.0,985.0,1000.0,1039.0,1081.0,,
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Groundnut,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,952.0,970.0,981.0,1079.0,1031.0,1181.0,1144.0,1144.0,1187.0,1274.0,,
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,966.0,924.0,985.0,1045.0,1063.0,1081.0,1080.0,1108.0,1123.0,1128.0,,
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,966.0,958.0,976.0,980.0,1006.0,1096.0,1068.0,1086.0,1138.0,1166.0,,
Agriculture Production Foodgrains Yield Oilseeds Nine Oilseeds Sunflower,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,580.0,552.0,541.0,548.0,549.0,590.0,623.0,632.0,645.0,676.0,,
Agriculture Production Foodgrains Yield Other Cash Crops Cotton,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,201.0,204.0,2108.0,273.0,324.0,379.0,396.0,412.0,440.0,456.0,,
Agriculture Production Foodgrains Yield Other Cash Crops Jute and Mesta,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,1900.0,1944.0,1938.0,2030.0,2063.0,2093.0,6010.0,2172.0,2176.0,2195.0,,
Agriculture Production Foodgrains Yield Other Cash Crops Onion,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,10416.0,10540.0,10416.0,11678.0,11987.0,12520.0,12520.0,,,,,
Agriculture Production Foodgrains Yield Other Cash Crops Potato,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,18858.0,18343.0,18386.0,17950.0,16962.0,17207.0,17207.0,,,,,
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,69202.0,69065.0,65945.0,64473.0,64969.0,66151.0,67024.0,67929.0,68554.0,69118.0,,
(DC)Agricultural Coverage Under Irrigation,"Annual, Ending mar Of Each Year",%,,,,40.1,40.0,40.8,42.4,43.9,43.4,43.0,42.8,42.2,44.2,,,,,,,,,
Agricultural Production Foodgrains Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,6.81,6.27,7.17,7.27,7.39,7.44,6.666,8.03,7.29,6.85,
Agricultural Production Foodgrains Area Assam,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.74,2.58,2.6,2.38,2.52,2.67,2.6956,2.77,2.74,2.52,
Agricultural Production Foodgrains Area Bihar,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,7.01,6.46,6.55,6.7,7.03,6.92,6.6342,6.24,6.7,6.71,
Agricultural Production Foodgrains Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,5.07,5.13,5.15,5.06,5.08,4.96,4.8637,4.96,4.96,5.04,
Agricultural Production Foodgrains Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,4.03,3.72,3.97,4.57,4.48,4.06,3.694,4.53,4.74,3.68,
Agricultural Production Foodgrains Area Haryana,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,4.29,4.24,4.27,4.35,4.48,4.61,4.54,4.72,4.63,4.39,
Agricultural Production Foodgrains Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.95,1.87,1.93,2.38,2.44,2.43,1.6191,1.49,2.32,2.31,
Agricultural Production Foodgrains Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,6.91,7.56,7.6,7.45,7.87,7.46,7.955,8.24,7.43,7.42,
Agricultural Production Foodgrains Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,12.68,12.47,11.68,11.78,11.29,11.91,12.459,12.86,13.5,14.13,
Agricultural Production Foodgrains Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,12.18,12.61,12.75,13.45,13.21,11.42,12.1127,13.03,10.86,10.11,
Agricultural Production Foodgrains Area Orissa,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,5.39,5.3,5.46,5.4,5.49,5.43,5.4061,5.32,4.92,5.04,
Agricultural Production Foodgrains Area Punjab,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,6.29,6.35,6.32,6.3,6.3,6.46,6.503,6.51,6.51,6.59,
Agricultural Production Foodgrains Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,13.96,12.05,12.45,12.7,13.61,13.21,13.2719,15.08,14.44,12.17,
Agricultural Production Foodgrains Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.88,3.3,3.32,3.17,3.1,3.19,3.0328,3.17,3.21,2.89,
Agricultural Production Foodgrains Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,20.2,19.29,19.64,20.04,19.08,19.76,19.322,19.8,20.13,19.96,
Agricultural Production Foodgrains Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.03,1.04,1.03,0.99,1.01,1.03,1.009,0.99,0.95,0.93,
Agricultural Production Foodgrains Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,6.6,6.48,6.44,6.36,6.36,6.54,6.2423,5.56,6.04,6.09,
Agricultural Production Foodgrains Area Others,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,3.3,3.36,3.27,3.36,3.33,3.33,3.3068,3.47,3.38,3.33,
Agricultural Production Foodgrains Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,13.697,13.396,16.951,16.229,19.303,20.421,15.295,20.32,18.36,17.93,
Agricultural Production Foodgrains Volume Assam,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,4.035,3.6182,3.6778,3.06,3.47,4.143,4.4811,4.88,4.66,4.76,
Agricultural Production Foodgrains Volume Bihar,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,11.2126,7.7044,8.5868,11.0986,10.8641,12.2207,10.1506,9.22,14.05,15.62,
Agricultural Production Foodgrains Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,6.4698,5.023,5.7148,5.805,6.2919,5.1673,4.9028,7.06,6.87,7.63,
Agricultural Production Foodgrains Volume Gujarat,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,6.5713,5.2575,6.154,6.499,8.206,6.481,5.761,8.34,8.87,7.32,
Agricultural Production Foodgrains Volume Haryana,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,13.1931,13.109,12.9981,14.763,15.3078,15.6137,15.357,16.63,17.96,16.22,
Agricultural Production Foodgrains Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,2.905,2.3111,2.0676,3.6868,4.1645,4.1887,2.1521,1.88,4.18,4.3,
Agricultural Production Foodgrains Volume Karnataka,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,6.5621,10.495,13.489,9.599,12.186,11.275,10.955,13.88,12.1,10.93,
Agricultural Production Foodgrains Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,15.9567,14.1048,13.195,13.747,12.0705,13.9146,16.0178,14.95,20.39,23.42,
Agricultural Production Foodgrains Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,10.323,10.5407,12.087,12.6451,15.1917,11.4276,12.5863,15.42,12.54,10.69,
Agricultural Production Foodgrains Volume Orissa,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,7.1569,6.8897,7.3597,7.3447,8.1433,7.3991,7.5531,7.62,6.41,8.35,
Agricultural Production Foodgrains Volume Punjab,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,24.7294,25.6707,25.1842,25.3131,26.8153,27.3298,26.95,27.87,28.39,28.07,
Agricultural Production Foodgrains Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,17.9938,2.1508,11.445,14.2088,16.0587,16.6802,12.3501,18.83,19.47,18.03,
Agricultural Production Foodgrains Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,4.4066,6.1758,6.1272,8.263,6.5823,7.1023,7.5114,7.59,10.15,6.29,
Agricultural Production Foodgrains Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,44.2465,37.8363,40.4102,41.2145,42.0948,46.7293,43.1953,47.25,50.28,50.84,
Agricultural Production Foodgrains Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,1.724,1.761,1.594,1.735,1.796,1.765,1.796,1.82,1.85,1.8,
Agricultural Production Foodgrains Volume West Bengal,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,16.0097,16.0554,15.6089,15.9745,16.0502,16.2956,15.7416,14.47,15.99,16.51,
Agricultural Production Foodgrains Volume Others,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,5.29,6.05,5.45,,6.25,5.94,,,6.3125,5.3518,6.75,6.77,6.64,
Agricultural Production Foodgrains Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2012.0,2138.0,2365.0,2231.0,2613.0,2744.0,2294.0,2530.0,2519.0,2616.0,
Agricultural Production Foodgrains Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1472.0,1405.0,1416.0,1286.0,1378.0,1551.0,1662.0,1763.0,1704.0,1889.0,
Agricultural Production Foodgrains Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1601.0,1192.0,1311.0,1656.0,1546.0,1766.0,1530.0,1479.0,2098.0,2329.0,
Agricultural Production Foodgrains Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1231.0,979.0,1111.0,1148.0,1238.0,1041.0,1008.0,1424.0,1384.0,1514.0,
Agricultural Production Foodgrains Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1629.0,1412.0,1551.0,1423.0,1831.0,1595.0,1560.0,1843.0,1874.0,1990.0,
Agricultural Production Foodgrains Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,3068.0,3092.0,3045.0,3393.0,3420.0,3388.0,3383.0,3526.0,3879.0,3698.0,
Agricultural Production Foodgrains Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1490.0,1234.0,1073.0,1550.0,1709.0,1720.0,1330.0,1257.0,1798.0,1861.0,
Agricultural Production Foodgrains Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,954.0,1388.0,1776.0,1289.0,1548.0,1511.0,1377.0,1684.0,1629.0,1472.0,
Agricultural Production Foodgrains Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1248.0,1131.0,1130.0,1167.0,1069.0,1168.0,1285.0,1162.0,1510.0,1657.0,
Agricultural Production Foodgrains Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,860.0,836.0,948.0,940.0,1150.0,1001.0,1039.0,1184.0,1155.0,1057.0,
Agricultural Production Foodgrains Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1328.0,1300.0,1349.0,1369.0,1484.0,1363.0,1397.0,1432.0,1303.0,1658.0,
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,3929.0,4040.0,3986.0,1359.0,4255.0,4231.0,4144.0,4280.0,4364.0,4258.0,
Agricultural Production Foodgrains Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1288.0,1008.0,919.0,4017.0,1180.0,1263.0,931.0,1249.0,1348.0,1482.0,
Agricultural Production Foodgrains Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1539.0,1874.0,1847.0,1354.0,2125.0,2225.0,2477.0,2393.0,3162.0,2175.0,
Agricultural Production Foodgrains Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2192.0,1961.0,2057.0,2399.0,2206.0,2365.0,2236.0,2386.0,2498.0,2547.0,
Agricultural Production Foodgrains Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,1672.0,1697.0,1548.0,2057.0,1785.0,1715.0,1780.0,1841.0,1945.0,1939.0,
Agricultural Production Foodgrains Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,2421.0,2479.0,2423.0,1760.0,2525.0,2493.0,2522.0,2601.0,2645.0,2711.0,
Agricultural Production Foodgrains Rice Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,41.91,43.66,43.81,43.91,45.54,41.92,42.86,44.01,42.8,43.9
Agricultural Production Foodgrains Rice Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,88.53,83.13,91.79,93.36,96.69,99.18,89.09,95.98,105.3,104.4,
Agricultural Production Foodgrains Rice Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,1984.0,2102.0,2131.0,2202.0,2178.0,2125.0,2239.0,2393.0,2462.0,2419.0
Agricultural Production Foodgrains Rice Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.98,3.09,3.98,3.98,3.98,4.39,3.441,4.751,4.1,3.49,
Agricultural Production Foodgrains Rice Area Assam,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.53,2.38,2.42,2.19,2.32,2.48,2.4958,2.57,2.54,2.24,
Agricultural Production Foodgrains Rice Area Bihar,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,3.56,3.12,3.25,3.36,3.57,3.5,3.2137,2.833,3.32,3.25,
Agricultural Production Foodgrains Rice Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,3.72,3.75,3.75,3.72,3.75,3.73,3.6707,3.703,3.77,3.78,
Agricultural Production Foodgrains Rice Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.68,0.69,0.67,0.73,0.76,0.75,0.679,0.808,0.84,0.7,
Agricultural Production Foodgrains Rice Area Haryana,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.02,1.03,1.05,1.04,1.08,1.21,1.205,1.245,1.24,1.22,
Agricultural Production Foodgrains Rice Area Jharkland,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.36,1.29,1.35,1.62,1.65,1.68,0.995,0.72,1.47,1.35,
Agricultural Production Foodgrains Rice Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.15,1.31,1.49,1.4,1.42,1.51,1.487,1.54,1.42,1.27,
Agricultural Production Foodgrains Rice Area Kerala,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,0.29,0.29,0.28,0.26,0.23,0.23,0.234,0.213,0.21,0.2,
Agricultural Production Foodgrains Rice Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.67,1.62,1.66,1.66,1.56,1.68,1.4457,1.603,1.66,1.88,
Agricultural Production Foodgrains Rice Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.54,1.52,1.52,1.53,1.57,1.52,1.47,1.518,1.54,1.55,
Agricultural Production Foodgrains Rice Area Orissa,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,4.5,4.47,4.48,4.45,4.45,4.45,4.3651,4.226,4.0,4.03,
Agricultural Production Foodgrains Rice Area Punjab,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,2.61,2.65,2.64,2.62,2.61,2.74,2.802,2.831,2.82,2.85,
Agricultural Production Foodgrains Rice Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.4,1.87,2.05,1.93,1.79,1.93,1.8455,1.906,1.9,1.58,
Agricultural Production Foodgrains Rice Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,5.95,5.34,5.58,5.92,5.71,6.03,5.1867,5.657,5.95,5.86,
Agricultural Production Foodgrains Rice Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,5.86,5.78,5.78,5.69,5.72,5.94,5.6301,4.944,5.43,5.43,
Agricultural Production Foodgrains Rice Area Others,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,1.68,1.71,1.71,1.71,1.74,1.75,1.7521,1.7952,1.8,1.73,
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,8953.0,9601.0,11704.0,11872.0,13324.0,14241.0,10538.0,14418.0,12900.0,10910.0,
Agricultural Production Foodgrains Rice Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,134.6,152.5,154.6,135.0,146.2,146.2,158.1,163.9,215.8,234.0,,,
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,,,,,,,,,,,,3880.0,3470.7,3552.5,2916.0,3319.0,4008.5,4335.8,4737.0,4520.0,4560.0,
