Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,8.4122,8.5196,9.4021,8.3583,9.8802,10.457587,11.1208445,11.0310829,12.43,13.4518
Agricultural Production Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,24.3535,27.9779,24.2894,29.7553,27.718952,24.881624,32.478956,29.7986417,30.943,32.4143
Agricultural Production Oilseeds Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,14.1492,16.767,14.0121,20.7134,17.807969,15.728429,21.922022,20.691064,20.791,22.1366
Agricultural Production Oilseeds Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,10.2043,11.2109,10.2773,9.0419,9.910983,9.153195,10.556934,9.1075777,10.152,10.2777
Agricultural Production Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,6.7744,7.9933,4.8635,9.1825,7.1681,5.428493,8.264782,6.963712,4.695,9.4715
Agricultural Production Oilseeds Groundnut Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,5.2621,6.2979,3.2942,7.3624,5.6171,3.852216,6.642767,5.12691,3.187,7.6557
Agricultural Production Oilseeds Groundnut Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,1.5123,1.6954,1.5693,1.8201,1.551,1.576277,1.622015,1.836802,1.508,1.8158
Agricultural Production Oilseeds Castorseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.7934,0.9907,0.7623,1.0536,1.171059,1.008951,1.350324,2.29491,1.964,1.6438
Agricultural Production Oilseeds Sesamun Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.6741,0.6411,0.6184,0.7569,0.6403,0.588419,0.892995,0.810264,0.685,0.6361
Agricultural Production Oilseeds Nigerseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.1122,0.108,0.1209,0.1095,0.11698,0.099936,0.107709,0.098084,0.102,0.0875
Agricultural Production Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,7.5931,8.1312,7.4378,5.8336,7.2007,6.608079,8.17871,6.6037357,8.029,7.8289
Agricultural Production Oilseeds Linseed Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.1697,0.1725,0.1679,0.1634,0.169183,0.153703,0.146544,0.152456,0.149,0.1409
Agricultural Production Oilseeds Safflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.1736,0.2286,0.2403,0.2245,0.1892,0.178822,0.150432,0.145331,0.109,0.1159
Agricultural Production Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,1.1867,1.439,1.2275,1.4631,1.158,0.850744,0.651063,0.516636,0.544,0.5417
Agricultural Production Oilseeds Sunflower Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.4311,0.4558,0.3655,0.4628,0.3571,0.21443,0.19183,0.147383,0.187,0.1655
Agricultural Production Oilseeds Sunflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,0.7556,0.9832,0.862,1.0003,0.8009,0.636314,0.459233,0.369253,0.357,0.3762
Agricultural Production Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,6.8763,8.2735,8.8508,10.9682,9.90543,9.964477,12.736397,12.213513,14.666,11.948
Agricultural Production Commercial Crops Cotton,"Annual, Ending mar Of Each Year",Bale mn,,,,,,,,,,,,,16.4286,18.499,22.6318,25.8841,22.2762,24.021803,33.0,35.2,34.22,36.5
Agricultural Production Commercial Crops Jute,"Annual, Ending mar Of Each Year",Bale mn,,,,,,,,,,,,,9.3993,9.97,10.3171,10.2201,9.6344,11.230374,10.009412,10.73564,10.34,10.821
Agricultural Production Commercial Crops Mesta,"Annual, Ending mar Of Each Year",Bale mn,,,,,,,,,,,,,0.873,0.8701,0.9559,0.9904,0.7309,0.587028,0.610752,0.66298,0.59,0.5795
Agricultural Production Commercial Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Bale mn,,,,,,,,,,,,,10.2723,10.8396,11.273,11.2105,10.3653,11.817402,10.620164,11.39862,10.93,11.4005
Agricultural Production Commercial Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,,237.0884,281.1718,355.5197,348.1879,285.0293,292.301617,342.3815552,361.036576,341.2,348.384
Agricultural Production Plantation Crops Potato,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,23.61,24.7,22.5,23.9,23.3,23.1,23.6,23.9,22.2,28.5,,,,,,
