Model,MAE,RMSE,R2
Linear Regression,51.241590823654654,72.58765636976977,0.9416747005056266
Decision Tree,7.821399999999999,11.305564276054515,0.9985851320295469
Random Forest,23.588596329365018,60.91151292920792,0.9589294799840208
Gradient Boosting,20.943412125620487,54.559347650778925,0.9670489114504066
